Text,Type,Source
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,Tweet,Hate Speech and Offensive Language Dataset
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,Tweet,Hate Speech and Offensive Language Dataset
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,Tweet,Hate Speech and Offensive Language Dataset
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,Tweet,Hate Speech and Offensive Language Dataset
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be f@ker than the bitch who told it to ya &#57361;,Tweet,Hate Speech and Offensive Language Dataset
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",Tweet,Hate Speech and Offensive Language Dataset
@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,Tweet,Customer Support on Twitter Dataset
"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",Tweet,Customer Support on Twitter Dataset
@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,Tweet,Customer Support on Twitter Dataset
"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",Tweet,Customer Support on Twitter Dataset
@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,Tweet,Customer Support on Twitter Dataset
"@105836 Have you tried from another device, Miriam ^MM",Tweet,Customer Support on Twitter Dataset
"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",Tweet,Customer Support on Twitter Dataset
"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",Tweet,Customer Support on Twitter Dataset
"Great CD: My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this, no matter black, white, young, old, male, female EVERYBODY says one thing ""Who was that singing ?""",Review,Amazon Reviews for Sentiment Analysis Dataset
"One of the best game music soundtracks - for a game I didn't really play: Despite the fact that I have only played a small portion of the game, the music I heard (plus the connection to Chrono Trigger which was great as well) led me to purchase the soundtrack, and it remains one of my favorite albums. There is an incredible mix of fun, epic, and emotional songs. Those sad and beautiful tracks I especially like, as there's not too many of those kinds of songs in my other video game soundtracks. I must admit that one of the songs (Life-A Distant Promise) has brought tears to my eyes on many occasions.My one complaint about this soundtrack is that they use guitar fretting effects in many of the songs, which I find distracting. But even if those weren't included I would still consider the collection worth it.",Review,Amazon Reviews for Sentiment Analysis Dataset
"Batteries died within a year ...: I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However, after about a year, the batteries would not hold a charge. Might as well just get alkaline disposables, or look elsewhere for a charger that comes with batteries that have better staying power.",Review,Amazon Reviews for Sentiment Analysis Dataset
"works fine, but Maha Energy is better: Check out Maha Energy's website. Their Powerex MH-C204F charger works in 100 minutes for rapid charge, with option for slower charge (better for batteries). And they have 2200 mAh batteries.",Review,Amazon Reviews for Sentiment Analysis Dataset
"Great for the non-audiophile: Reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines. I am weaning off my VHS collection, but don't want to replace them with DVD's. This unit is well built, easy to setup and resolution and special effects (no progressive scan for HDTV owners) suitable for many people looking for a versatile product.Cons- No universal remote.",Review,Amazon Reviews for Sentiment Analysis Dataset
"DVD Player crapped out after one year: I also began having the incorrect disc problems that I've read about on here. The VCR still works, but hte DVD side is useless. I understand that DVD players sometimes just quit on you, but after not even one year? To me that's a sign on bad quality. I'm giving up JVC after this as well. I'm sticking to Sony or giving another brand a shot.",Review,Amazon Reviews for Sentiment Analysis Dataset
Amber Smith “Kandy Halloween: Return of the Haunted Mansion” Red Carpet #URL# via #USER#,Tweet,Fake News Detection Corpus
"""RT Reuters """"Russia: Pence Balkans comments expose Washington's Cold War ideology #URL# #URL#""""""",Tweet,Fake News Detection Corpus
Jennifer Lopez and Alex Rodriguez Step Out for the First Time at the 2019 Met Gala as an Engaged Couple #URL#,Tweet,Fake News Detection Corpus
"""92nd #HASHTAG# delayed in Brisbane, Adelaide &amp; Perth. #HASHTAG# #URL# #URL#""",Tweet,Fake News Detection Corpus
#HASHTAG# to represent Australia at #HASHTAG# 2020! #HASHTAG# #URL# #URL#,Tweet,Fake News Detection Corpus
"Natural language processing (NLP) is an interdisciplinary subfield of computer science and linguistics. It is primarily concerned with giving computers the ability to support and manipulate human language. It involves processing natural language datasets, such as text corpora or speech corpora, using either rule-based or probabilistic (i.e. statistical and, most recently, neural network-based) machine learning approaches.\n",wiki,Wikipedia
"Challenges in natural language processing frequently involve speech recognition, natural-language understanding, and natural-language generation.\n",wiki,Wikipedia
"Natural language processing has its roots in the 1950s. Already in 1950, Alan Turing published an article titled ""Computing Machinery and Intelligence"" which proposed what is now called the Turing test as a criterion of intelligence, though at the time that was not articulated as a problem separate from artificial intelligence. The proposed test includes a task that involves the automated interpretation and generation of natural language.\n",wiki,Wikipedia
"The premise of symbolic NLP is well-summarized by John Searle's Chinese room experiment: Given a collection of rules (e.g., a Chinese phrasebook, with questions and matching answers), the computer emulates natural language understanding (or other NLP tasks) by applying those rules to the data it confronts.\n",wiki,Wikipedia
"Up to the 1980s, most natural language processing systems were based on complex sets of hand-written rules.  Starting in the late 1980s, however, there was a revolution in natural language processing with the introduction of machine learning algorithms for language processing.  This was due to both the steady increase in computational power (see Moore's law) and the gradual lessening of the dominance of Chomskyan theories of linguistics (e.g. transformational grammar), whose theoretical underpinnings discouraged the sort of corpus linguistics that underlies the machine-learning approach to language processing.[7]\n",wiki,Wikipedia
"  In neuropsychology, linguistics, and philosophy of language, a natural language or ordinary language is any language that occurs naturally in a human community by a process of use, repetition, and change without conscious planning or premeditation. It can take different forms, namely either a spoken language or a sign language. Natural languages are distinguished from constructed and formal languages such as those used to program computers or to study logic.[1]",wiki,Wikipedia
"All varieties of world languages are natural languages, including those that are associated with linguistic prescriptivism or language regulation. (Nonstandard dialects can be viewed as a wild type in comparison with standard languages.) An official language with a regulating academy such as Standard French, overseen by the Académie Française, is classified as a natural language (e.g. in the field of natural language processing), as its prescriptive aspects do not make it constructed enough to be a constructed language or controlled enough to be a controlled natural language.",wiki,Wikipedia
"Controlled natural languages are subsets of natural languages whose grammars and dictionaries have been restricted in order to reduce ambiguity and complexity. This may be accomplished by decreasing usage of superlative or adverbial forms, or irregular verbs. Typical purposes for developing and implementing a controlled natural language are to aid understanding by non-native speakers or to ease computer processing. An example of a widely-used controlled natural language is Simplified Technical English, which was originally developed for aerospace and avionics industry manuals.",wiki,Wikipedia
"Being constructed, International auxiliary languages such as Esperanto and Interlingua are not considered natural languages, with the possible exception of true native speakers of such languages.[3] Natural languages evolve, through fluctuations in vocabulary and syntax, to incrementally improve human communication. In contrast, Esperanto was created by Polish ophthalmologist L. L. Zamenhof in the late 19th century.",wiki,Wikipedia
"Some natural languages have become organically ""standardized"" through the synthesis of two or more pre-existing natural languages over a relatively short period of time through the development of a pidgin, which is not considered a language, into a stable creole language. A creole such as Haitian Creole has its own grammar, vocabulary and literature. It is spoken by over 10 million people worldwide and is one of the two official languages of the Republic of Haiti.",wiki,Wikipedia